Slc40a1,Q9JHI9
RP24-342G5.6,
Trbc2,A0A075B5J4
Ighv3-8,A0A075B5T0
Gprin2,A0A2I3BRN2
Mdn1,A2ANY6
Fam171a1,A2ATK9
Btnl6,A2CG22
Rnf39,A2RT81
Malat1,B0LAE7
Vps13d,B1ART1
Atp10b,B1AWN4
Phf11b,B4XVQ1
Duox2,B7ZWM4
Ppfia1,B8QI33
Nup205,B9EJ54
Adamts17,D3YX90
Fam84b,D3YXJ5
Tmed7,D3YZZ5
Rsbn1l,D3Z0K6
Hnrnph3,D3Z3N4
Maml3,D4QGC2
Col6a3,E9PWQ3
Adap1,E9PY16
Fam98c,E9PYD1
Lmo7,E9PYF4
Ap1ar,E9PYF7
Herc1,E9PZP8
Atad2b,E9Q166
Myo5c,E9Q1F5
Acbd4,E9Q289
Elmsan1,E9Q2I4
Prss32,E9Q409
Kif13b,E9Q4K7
Ccdc71l,E9Q4T4
Cep192,E9Q4Y4
Ahnak,E9Q616
Plekha5,E9Q6H8
Pfdn4,E9Q6U4
Foxn2,E9Q7L6
Tsc22d2,E9Q7M2
Rap1gds1,E9Q912
Spryd3,E9Q9B3
Kidins220,E9Q9B7
Fbrsl1,E9Q9T0
Cald1,E9QA16
Zfp626,E9QA60
Btaf1,E9QAE3
Pik3c2b,E9QAN8
BC016579,E9QP50
Zfp930,F6YAM1
Mex3a,G3UYU0
Zfp871,G5E905
Fignl2,J3QK54
Bbip1,J3QMK2
Smim22,J3QP37
Utrn,O08614
Muc3,O35419
Pvrl2,P32507
Hist1h4b,P62806
H3f3a,P84244
Dusp5,Q1HL35
Zbtb38,Q3LR78
Cabin1,Q3TGB0
Fubp3,Q3TIX6
Pnrc1,Q3TWH3
Sh3tc1,Q3TXV8
Zfp217,Q3U0X6
D030056L22Rik,Q3UMB2
Mllt6,Q3UPK1
Dnajc13,Q3UQJ7
Qser1,Q3UR75
A530084C06Rik,Q3UTW2
Slfn4,Q3UV10
Heca,Q3V1N5
Fam46a,Q3V3I9
Pdp2,Q504M2
Igkv8-30,Q52L64
Lpo,Q5SW46
Zfp760,Q5U4A6
H19,Q61639
Ifngr2,Q63953
N4bp2,Q69ZK1
Zfc3h1,Q6A049
Kank1,Q6AXG6
Zfp948,Q6DFU8
Skiv2l,Q6NZR5
Bptf,Q6P9L3
Trak2,Q6P9N8
Zbtb39,Q6PDK0
Mgam,Q6XK24
Dot1l,Q6XZL8
Atp11b,Q6ZQ17
Hist1h2be,Q6ZWY9
Airn,Q78TB4
Gbp7,Q78UK8
Dusp9,Q7TNL7
Zfp644,Q80TH4
Sec24c,Q80U83
Fryl,Q80XD5
Hmgxb4,Q80Y32
Zmynd8,Q80Y82
Ddx60,Q811K8
Nav2,Q8BJG0
Phf3,Q8BLA7
Cped1,Q8BMB4
Taf15,Q8BQ46
Nup153,Q8BRF6
Akap11,Q8BSJ2
Kbtbd2,Q8BSY6
Uba7,Q8BTN4
Zfp874a,Q8BX23
Zfp407,Q8C020
Baz2b,Q8C0K4
Zbtb37,Q8C3U9
Fcgbp,Q8C5Q6
Hottip,Q8CCA9
Macc1,Q8CE58
Zfp758,Q8CFF3
Mmp28,Q8CGV8
Tug1,Q8CI88
H2-Q4,Q8HWB2
Pvr,Q8K094
Plagl2,Q925T4
Zfp810,Q99K45
Ms4a7,Q99N04
Herc3,Q9CYM1
Sval1,Q9D2X6
Rab10os,Q9DAE6
Zfp87,Q9JIB9
Socs6,Q9JLY0
Fat1,Q9QXA3
Zfp68,Q9Z116
Zfp53,Q9Z117
Pdpk1,Q9Z2A0
Btbd19,S4R1I0
Rbm6,S4R1W5
Gas5,V9H0V2
RP24-426M1.3,
RP24-273P12.4 Casp8,O89110
RP24-353D23.1,
RP23-71J17.1,
RP23-16A20.1,
RP24-200D3.4,
RP24-200D3.4 Zc3h11a,Q6NZF1
AC124550.3,
AC131992.1,
Raet1e H60b,Q9CZQ6 B1B212
Slc25a16,Q8C0K5
Chchd10,Q7TNL9
Eef2 Dapk3,P58252 O54784
RP24-227O16.1,
Galnt4 Poc1b,O08832 Q8BHD1
Ltv1 Zc2hc1b,Q6NSQ7 Q9D534
RP24-170A20.3,
Myl6 Myl6b,Q60605 Q8CI43
Ifi47 Olfr56,Q61635 Q8VGD6
RP23-79E13.6,
Trappc1 Kcnab3,Q5NCF2 P97382
RP23-185A18.9,
Vezf1,Q5SXC4
Spop,Q6ZWS8
RP23-85A17.4,
Nmt1 Gm26668,O70310
RP23-17N7.3 Limk2,O54785
RP23-242C19.7,
RP23-188K3.6,
RP23-176J13.6,
RP23-468D17.1,
Mampt,
RP24-185O19.6,
Zfp386,Q1WWJ5
Mlh3,Q68FG1
RP23-43G12.1,
Trip11,Q811I5
RP24-234J3.3,
Igha,P01878
Ighv5-4,A0A075B5P9
Hist1h2bj,A0JLV3
Hist1h3g Hist1h2af,P68433 Q8CGP5
Hist1h4d,P62806
RP23-92G13.4,
Fam8a1,Q3TBV3
RP23-81N4.4,
RP23-189B9.3 AC130827.2,
AC130827.2,
RP24-196I12.2 RP24-540A17.2,
Hist1h1e Hist1h2be,P43274 Q6ZWY9
RP23-206J9.3,
RP23-118M14.2,
Gpbp1 RP23-359G8.3,Q6NXH3
RP24-84D8.5,
4930480K23Rik,
RP23-55L3.5,
n-R5s46,
RP23-127E21.1,
RP23-359F5.1,
RP24-288B1.2,
Rnf139 RP24-354I13.6,Q7TMV1
RP23-386K4.1,
AC104325.1,
Rnu12,
Mettl7a1,Q9D7S5
RP23-230O9.4,
RP23-180L12.1,
RP23-212I23.1,
Usf3,B2RUQ2
Zfp597,E9Q6S0
RP24-221F4.2,
RP23-345D6.8-1,
RP23-345D6.11,
Gm26561,
Fndc1,E9Q043
Btnl5-ps,
RP23-349B4.7,
RP24-180B11.5,
AC102225.2,
n-R5-8s1,
Gm23119,
RP23-140G16.1,
Gm23997,
AC129188.1,
AC132303.1,
Tcf7l2,Q924A0
Ppnr Tcf7l2,Q78DZ5 Q924A0
Ndufs8 Tcirg1,Q8K3J1 Q9JL11
RP23-41B18.5,
Neat1,
AI846148,
RP23-341M13.1,
Ifit1bl1,E9PXF7
9130011E15Rik,
Rapgef1,A1L338
Lrrc8a RP23-395P6.10,Q80WG5
Gm23731,
RP23-297K24.1,
RP23-22A15.2,
Trp53rkb,Q543M9
Hspa14 RP23-167G19.12,Q99M31
RP23-328P7.1 Lrp1b,Q9JI18
Ctnnd1 RP23-387F9.7,P30999
Fastkd5 Ubox5,Q7TMV3 Q925F4
RP23-32L15.2,
Cenpb Spef1,P27790 Q99JL1
RP23-199B10.2,
RP23-91K11.3,
RP23-220D12.12,
RP24-114E18.8,
RP23-391M18.7,
Prelid3b Atp5e,Q9CYY7 Q545F5
Taf4,E9QAP7
RP23-243E17.1,
RP23-346I1.1 Mgst2,A2RST1
Arhgef26,D3YYY8
Slc10a5 RP23-436F15.5,Q5PT54
RP23-347F4.1,
Trim2,Q9ESN6
RP23-37G19.2,
RP23-173N16.6,
Clca3b,E9PUL3
Clca4b,Q3UW98
RP23-230C2.2,
RP23-398D18.4,
RP23-40G2.3,
Kti12 Txndc12,Q9D1R2 Q9CQU0
RP24-16C11.2,
RP23-273D6.2,
RP23-153M14.4,
Gpatch3 Gpn2,Q8BIY1 Q8VEJ1
RP23-267E14.2,
Ubap2,Q91VX2
RP23-211P15.1,
RP23-356F8.1,
Zfyve9,A8Y5G5
RP23-284L6.7,
Snhg3 Rcc1,Q8VE37
Sfn,O70456
RP23-192C21.1,
Btbd8 RP23-32E20.1,D3YUB6
Rplp0 Gcn1l1,P14869 E9PVA8
AC126938.1,
Fis1 Cldn15,Q9CQ92 Q9Z0S5
Zfp655,Q6P8W7
RP23-110C17.2,
Tada2b,D3Z4Z0
AC167815.1,
RP23-318I19.2 Fryl,F8VQ05
AC162528.2,
CAAA01224633.1,
AC159257.5,
RP23-56M2.7 Col1a2,Q01149
Ppp1r9a,Q7TSA7
RP23-365O8.4 C1galt1,Q9JJ06
RP23-338E5.2,
Mgam2-ps,A0A571BDS5
RP23-281H4.10,
RP23-281H4.3,
RP23-434H14.8 Etv6,
RP24-328P2.5,
RP23-343E20.2,
RP23-392I2.3 Wasl,
RP23-83N17.1,
Hoxa3 Hoxa6,P02831 P09092
RP23-448G18.4,
Gt(ROSA)26Sor,
Grcc10 RP24-297C1.14,O35127
RP24-127M20.8,
Dusp16,Q920R2
Nova2,D3YVV7
RP23-457F4.2,
RP23-256J14.2 Abhd2,Q9QXM0
RP24-344N22.3 Picalm,Q7M6Y3
Rsf1,Q3UJ04
RP23-386F15.3,
AC165086.3,
RP23-4H17.4 AC136146.4,
Srcap,A0A087WQ44
Cd81 Tssc4,P35762 Q9JHE7
n-R5s152,
RP23-32A8.1,
RP23-285C18.2,
Prss8,Q9ESD1
AC124566.2,
RP23-359B23.5,
AC128663.3,
AC124713.2,
Zc3h18 AC114005.5,Q0P678
Urb2,E9Q7L1
Efnb2,P52800
RP24-345M16.1,
Ifi30 Mpv17l2,Q9ESY9 Q8VIK2
Smpd3 Gm26786,Q9JJY3
H2afx Dpagt1,P27661 P42867
Pkm Gramd2,P52480 Q3V3G7
Tmppe,D3Z286
RP23-424C4.5,
RP23-437A9.3,
RP24-89C4.5,
Polr2m Gcom1,Q6P6I6
Phip,Q8VDD9
Gm24259,
Nbeal2 Nradd,Q6ZQA0 Q8CJ26
mt-Rnr1,
mt-Rnr2,
mt-Tl1,
mt-Ti,
mt-Tm,
mt-Ts2,
mt-Tl2,
mt-Tq,
mt-Ta,
mt-Tc,
Xist,
RP23-284F8.1,
Gm47283,