4930480K23Rik,
9130011E15Rik,
A530084C06Rik,Q3UTW2
Acbd4,E9Q289
Adap1,E9PY16
Ahnak,E9Q616
AI846148,
Airn,Q78TB4
Akap11,Q8BSJ2
Ap1ar,E9PYF7
Atad2b,E9Q166
Atp10b,B1AWN4
Atp11b,Q6ZQ17
Baz2b,Q8C0K4
Bbip1,J3QMK2
BC016579,E9QP50
Bptf,Q6P9L3
Brd1,E9PZ26
Btaf1,E9QAE3
Btbd19,S4R1I0
Btnl5-ps,
Cabin1,Q3TGB0
Cald1,E9QA16
Ccdc71l,E9Q4T4
Cep192,E9Q4Y4
Col6a3,E9PWQ3
Cped1,Q8BMB4
D030056L22Rik,Q3UMB2
Ddx60,Q811K8
Dgkd,E9PUQ8
Dnajc13,Q3UQJ7
Dot1l,Q6XZL8
Duox2,B7ZWM4
Dusp5,Q1HL35
Dusp9,Q7TNL7
Elmsan1,E9Q2I4
Entpd6,Q3U0P5
Fam171a1,A2ATK9
Fam46a,Q3V3I9
Fam84b,D3YXJ5
Fam98c,E9PYD1
Fat1,Q9QXA3
Fbrsl1,E9Q9T0
Fcgbp,Q8C5Q6
Fignl2,J3QK54
Foxn2,E9Q7L6
Fryl,Q80XD5
Fubp3,Q3TIX6
Gas5,V9H0V2
Gbp7,Q78UK8
Gm23119,
Gm24259,
Gm26561,
Gt(ROSA)26Sor,
H19,Q61639
H2-Q4,Q8HWB2
H3f3a,P84244
Heca,Q3V1N5
Herc1,E9PZP8
Herc3,Q9CYM1
Hist1h2be,Q6ZWY9
Hist1h4b,P62806
Hmgxb4,Q80Y32
Hnrnph3,D3Z3N4
Hottip,Q8CCA9
Ifngr2,Q63953
Ighv3-8,A0A075B5T0
Igkv8-30,Q52L64
Kank1,Q6AXG6
Kbtbd2,Q8BSY6
Kidins220,E9Q9B7
Kif13b,E9Q4K7
Lmo7,E9PYF4
Lpo,Q5SW46
Macc1,Q8CE58
Malat1,B0LAE7
Maml3,D4QGC2
Mdn1,A2ANY6
Mex3a,G3UYU0
Mgam,Q6XK24
Mgst2,A2RST1
Mllt6,Q3UPK1
Mmp28,Q8CGV8
Ms4a7,Q99N04
mt-Rnr1,
mt-Rnr2,
Muc3,O35419
Myo5c,E9Q1F5
N4bp2,Q69ZK1
Nav2,Q8BJG0
Neat1,
Nup153,Q8BRF6
Nup205,B9EJ54
Pdp2,Q504M2
Pdpk1,Q9Z2A0
Pfdn4,E9Q6U4
Phf11b,B4XVQ1
Phf3,Q8BLA7
Pik3c2b,E9QAN8
Pip5k1a,P70182
Pip5k1b,P70181
Pla2g3,Q6AXH0
Plagl2,Q925T4
Plekha5,E9Q6H8
Pnrc1,Q3TWH3
Ppfia1,B8QI33
Prss32,E9Q409
Pvr,Q8K094
Pvrl2,P32507
Qser1,Q3UR75
Rab10os,Q9DAE6
Rap1gds1,E9Q912
Rbm6,S4R1W5
Rnf39,A2RT81
RP24-426M1.3,
Rsbn1l,D3Z0K6
Sec24c,Q80U83
Sh3tc1,Q3TXV8
Skiv2l,Q6NZR5
Slc40a1,Q9JHI9
Slfn4,Q3UV10
Smim22,J3QP37
Socs6,Q9JLY0
Spryd3,E9Q9B3
Sval1,Q9D2X6
Taf15,Q8BQ46
Tmed7,D3YZZ5
Trak2,Q6P9N8
Trbc2,A0A075B5J4
Tsc22d2,E9Q7M2
Tug1,Q8CI88
Uba7,Q8BTN4
Utrn,O08614
Vps13d,B1ART1
Xist,
Zbtb37,Q8C3U9
Zbtb38,Q3LR78
Zbtb39,Q6PDK0
Zfc3h1,Q6A049
Zfp217,Q3U0X6
Zfp407,Q8C020
Zfp53,Q9Z117
Zfp626,E9QA60
Zfp644,Q80TH4
Zfp68,Q9Z116
Zfp758,Q8CFF3
Zfp760,Q5U4A6
Zfp810,Q99K45
Zfp87,Q9JIB9
Zfp871,G5E905
Zfp874a,Q8BX23
Zfp930,F6YAM1
Zfp948,Q6DFU8
Zmynd8,Q80Y82